Voltage_V,Current_A,Motor Speed (RPM),temperature_C,vibration_g,Ambient Temp (°C),Humidity (%),Fault Label
0.938922256,0.199535208,0.544403031,0.239508042,0.301283771,0.582435173,0.397339653,0
0.804854497,0.597188239,0.073415832,0.180372809,0.920876201,0.128202911,0.124523216,1
0.949876697,0.426896165,0.083007395,0.251435797,0.610996318,0.714957211,0.003282522,1
0.954369933,0.121175068,0.962771289,0.377941608,0.070618671,0.776723347,0.502552498,0
0.810464045,0.382501409,0.55722289,0.048693874,0.078833884,0.326349876,0.168492677,0
0.966576207,0.240261795,0.090657941,0.404719535,0.155186096,0.780072078,0.704105413,0
0.838214557,0.307812949,0.235458317,0.426176106,0.287547104,0.924088726,0.626288493,0
0.764625483,0.391854466,0.207051397,0.442757678,0.782749732,0.600943163,0.911382157,1
0.813038029,0.224442765,0.522567598,0.090733671,0.338526337,0.299907916,0.559261308,0
0.586441901,0.275391644,0.354516947,0.397815905,0.451783487,0.727963637,0.326355041,2
0.856306654,0.551966808,0.435913689,0.445269595,0.616494353,0.695861407,0.27746968,1
0.180318936,0.452750108,0.392830778,0.782395805,0.226867432,0.286727363,0.515266305,3
0.629625069,0.180934755,0.337168396,0.538684331,0.241832611,0.153550927,0.649647282,2
0.080317882,0.434192115,0.109811198,0.816021998,0.140449299,0.657125527,0.326072751,3
0.954030138,0.939507979,0.896816264,0.00978022,0.010597698,0.298398543,0.969546634,0
0.952421471,0.999960414,0.658629212,0.215442031,0.289979068,0.41235673,0.364532745,0
0.850882672,0.738124863,0.850425567,0.03491469,0.306152011,0.713789627,0.730292466,0
0.923685703,0.211635489,0.511329348,0.479962617,0.222528271,0.454394283,0.127169984,0
0.895895812,0.602870256,0.084502966,0.52417257,0.599566874,0.368396352,0.955551911,1
0.253844626,0.401217212,0.38252474,0.589436364,0.16390436,0.253969046,0.815977081,3
0.895740456,0.15733446,0.715346866,0.212832008,0.30371509,0.840440281,0.798046392,0
0.012771442,0.27035021,0.191335055,0.806359909,0.01161413,0.859170891,0.492482128,3
0.029734463,0.314737846,0.698277161,0.904054416,0.075908838,0.751577013,0.433715841,3
0.912134774,0.83922657,0.43863015,0.281546091,0.068886432,0.12321286,0.342776945,0
0.764187894,0.629578982,0.088625789,0.54312689,0.198118162,0.059581899,0.026969401,0
0.614283151,0.129742208,0.222741937,0.978963968,0.034265045,0.531755911,0.184591737,3
0.757674613,0.517412458,0.116635696,0.257926468,0.515756861,0.809153734,0.120562599,1
